2704.451078465,2704.809983575,783,0.35890510999979597
2704.561949239,2704.840055902,784,0.27810666300001685
2704.651075295,2704.939999528,785,0.2889242330002162
2704.751080537,2705.040041078,786,0.2889605410000513
2704.861076349,2705.140039128,787,0.27896277899981214
2704.961078207,2705.240019331,788,0.27894112400008453
2705.051075301,2705.340084611,789,0.2890093099999831
2705.15107412,2705.480466711,790,0.32939259100021445
2705.271077541,2705.570017922,791,0.2989403809997384
2705.361075482,2705.679971234,792,0.318895751999662
2705.451117885,2705.770013675,793,0.31889579000016965
2705.551160703,2705.910009737,794,0.35884903400028634
2705.651075561,2706.039999921,795,0.38892435999969166
2705.8610765,2706.170611796,797,0.3095352959999218
2705.951117364,2706.410012908,798,0.45889554400037014
2706.241074865,2706.54033663,801,0.2992617650002103
2706.341651761,2706.710009096,802,0.36835733499992784
2706.561081617,2706.840108626,804,0.2790270089999467
2706.641072641,2707.010173553,805,0.3691009120002491
2706.851468234,2707.340054336,807,0.4885861019997719
2707.161408415,2707.740032959,810,0.578624543999922
2707.561073268,2708.140021619,814,0.5789483509997808
2707.942029057,2708.34209041,818,0.4000613529997281
2708.151075151,2708.510013569,820,0.3589384179999797
2708.361079398,2708.640112099,822,0.27903270099977817
2708.441075845,2708.672144424,823,0.23106857900029354
2708.551075273,2708.840020814,824,0.2889455409999755
2708.664587506,2708.970090575,825,0.30550306900022406
2708.84107766,2709.240063668,827,0.39898600800006534
2709.04107449,2710.009973664,829,0.9688991739999437
2709.851333114,2710.309972852,837,0.45863973799987434
2710.141081001,2710.440100652,840,0.2990196509999805
2710.241156513,2710.540078086,841,0.29892157299991595
2710.341078716,2710.670032655,842,0.32895393899980263
2710.441077151,2710.940074132,843,0.4989969809998911
2710.741074916,2711.37228885,846,0.6312139340002432
2711.251075198,2711.910002229,851,0.6589270310000757
2711.761074596,2712.210030303,856,0.44895570700009557
2712.051258406,2712.440064691,859,0.38880628499964587
2712.251149084,2712.570031991,861,0.31888290699998834
2712.441050844,2713.110242061,863,0.6691912169999341
2712.961077159,2713.340448065,868,0.3793709060000765
2713.141075657,2713.440166346,870,0.2990906889999678
2713.251082239,2713.540152666,871,0.2890704269998423
2713.351160943,2713.570860953,872,0.21970000999999684
2713.451148724,2713.740151112,873,0.2890023879999717
2713.56139496,2713.870042912,874,0.3086479519997738
2713.661134895,2713.940037674,875,0.27890277899996363
2713.751142759,2714.009967552,876,0.25882479300025807
2713.851385078,2714.270212728,877,0.41882764999991196
2714.041072955,2714.440036733,879,0.3989637780000521
2714.241241901,2714.540077091,881,0.29883518999986336
2714.341071913,2714.640067718,882,0.29899580499977674
2714.451072687,2714.770037826,883,0.31896513900028367
2714.561074847,2714.872268836,884,0.31119398900000306
2714.641092102,2715.009973093,885,0.36888099099996907
2714.851075312,2715.140547854,887,0.2894725420001123
2714.961052009,2715.240118366,888,0.27906635699991966
2715.051079297,2715.34007757,889,0.28899827300028846
2715.14107593,2715.440077005,890,0.2990010749999783
2715.251075513,2715.570029382,891,0.3189538689998699
2715.3410763,2715.740056425,892,0.39898012499998003
2715.541458708,2716.309971132,894,0.7685124240001642
2716.16146992,2716.570035886,900,0.4085659659999692
2716.351076797,2716.673261665,902,0.3221848680000221
2716.441453123,2716.740202044,903,0.2987489209999694
2716.551076706,2716.870220806,904,0.3191440999999031
2716.652405332,2717.110032919,905,0.45762758699993356
2716.951085946,2717.240039873,908,0.2889539269999659
2717.041077387,2717.44003909,909,0.3989617030001682
2717.261157629,2717.670224094,911,0.40906646499979615
