ts,state,center_offset,res_t,instance
58829.866363538,Normal,-1.5242391544636293,48.89699935913086,188
58830.155555967,Normal,-1.5242391544636293,23.684999465942383,191
58830.357730654,Normal,-1.4983310715592864,38.930999755859375,193
58830.559293369,Normal,-1.336492424220953,40.89899826049805,195
58830.755895279,Normal,-1.1534175306453427,40.03200149536133,197
58830.967332414,Normal,-0.9320434539226112,36.400001525878906,199
58831.158580571,Normal,-1.0869866604517258,30.687000274658203,201
58831.354535714,Normal,-1.0088235722860563,30.986000061035156,203
58831.556498343,Normal,-1.0592473743181976,37.15700149536133,205
58831.756194157,Normal,-0.9181383338037941,28.506000518798828,207
58831.975594846,Normal,-0.9162690652859599,53.012001037597656,209
58832.154755229,Normal,-0.8704831991486083,57.96900177001953,211
58832.353836077,Normal,-0.9011603630875071,36.13999938964844,213
58832.552940625,Normal,-0.8820345798209974,40.270999908447266,215
58832.748717666,Normal,-0.6444571358903534,40.834999084472656,217
58832.958864154,Normal,-0.541576402735571,39.25400161743164,219
58833.159831231,Normal,-0.5491083681751704,47.22800064086914,221
58833.347875891,Normal,-0.3449710132750301,32.14799880981445,223
58833.547389908,Normal,-0.49401315771950516,28.743000030517578,225
58833.751096634,Normal,-0.20980467106335157,38.91400146484375,227
58833.958780783,Normal,-0.06612110101926874,27.844999313354492,229
58834.155866562,Normal,-0.11002726934719496,29.868000030517578,231
58834.361247924,Normal,-0.18469434208984464,27.82900047302246,233
58834.541262398,Normal,-0.21791053209975958,38.849998474121094,235
58834.767221501,Normal,-0.4173367944478383,47.902000427246094,237
58834.949832486,Normal,-0.39037033698784074,51.72999954223633,239
58835.152075374,Normal,-0.7563497868050222,21.704999923706055,241
58835.363322,Normal,-0.8033853371826054,43.0989990234375,243
58835.559645388,Normal,-0.6753280684230422,28.33300018310547,245
58835.769804375,Normal,-0.64383305289493,45.56399917602539,247
58835.961526942,Normal,-0.7521256543955925,44.768001556396484,249
58836.253319672,Normal,-0.6902296719208731,30.908000946044922,252
58836.550103637,Normal,-0.673531736446024,22.951000213623047,255
58836.761354979,Normal,-0.6416829435165012,49.7599983215332,257
58836.962037227,Normal,-0.5504261985043912,40.7869987487793,259
58837.16674027,Normal,-0.695241684596081,32.97700119018555,261
58837.472148128,Normal,-0.6360196537843736,38.23699951171875,264
58837.760527131,Normal,-0.631271732299177,27.2549991607666,267
58838.059149717,Normal,-0.6778082324669709,36.01900100708008,270
58838.259427066,Normal,-0.6027976443218761,38.50400161743164,272
58838.553186774,Normal,-0.4052554749784382,33.361000061035156,275
58838.760783083,Normal,-0.38640005175983155,30.94499969482422,277
58839.053874709,Normal,-0.4770848981051453,32.380001068115234,280
58839.362996189,Normal,-0.5261036019644801,22.740999221801758,283
58839.554696042,Normal,-0.5819862541332015,36.55799865722656,285
58839.762471328,Normal,-0.7015646798407131,48.39899826049805,287
58839.956001089,Normal,-0.643000777604511,21.593000411987305,289
58840.259335047,Normal,-0.6377656309334955,34.645999908447266,292
58840.458222126,Normal,-0.5874912765309778,27.07900047302246,294
58840.659092303,Normal,-0.6406449874930736,29.232999801635742,296
58840.946159416,Normal,-0.5239666019890942,25.75,299
58841.143839802,Normal,-0.3013171087077553,25.23200035095215,301
58841.37907756,Normal,-0.27311719096387793,48.888999938964844,303
58841.659049299,Normal,-0.10012492197250536,28.716999053955078,306
58841.856428307,Normal,-0.12403628501370051,39.75699996948242,308
58842.144426104,Normal,0.17593464695733002,21.2189998626709,311
58842.354220769,Normal,0.3388687061385279,32.27899932861328,313
58842.556493591,Normal,0.3655092338094907,53.24100112915039,315
58842.759753167,Normal,0.1502065244921134,34.95000076293945,317
58843.06982595,Normal,0.1324122350842274,26.586000442504883,320
58843.378499499,Normal,-0.08121576201698541,28.924999237060547,323
58843.647549214,Normal,-0.3309048201522597,31.243000030517578,326
58843.964263467,Normal,-0.3055290493553755,26.03700065612793,329
58844.155512792,Normal,-0.2742571785751474,29.40999984741211,331
58844.349959799,Normal,-0.14016062214473912,28.224000930786133,333
58844.552368074,Normal,-0.2732123716086077,28.277999877929688,335
58844.744982883,Normal,-0.4604052562688657,23.82900047302246,337
58845.059017876,Normal,-0.39825243250983244,30.89299964904785,340
58845.351532193,Normal,-0.4901479368517214,30.22599983215332,343
58845.55284927,Normal,-0.6138615479080001,39.48899841308594,345
58845.759060861,Normal,-0.6957542669649932,44.84000015258789,347
58845.971846763,Normal,-0.533135067314092,34.5989990234375,349
58846.249668722,Normal,-0.7157883765471469,29.31599998474121,352
