ts,state,center_offset,res_t,instance
33668.016948134,Normal,-1.522661157316361,78.21199798583984,638
33668.266023689,Normal,-1.3573448345943635,115.6510009765625,640
33668.556720486,Normal,-1.0908941286852727,181.03399658203125,643
33668.786091896,Normal,-0.9871575355534689,104.6729965209961,645
33669.30239623,Normal,-1.2464228816898375,242.68899536132812,650
33669.545626445,Normal,-1.6086746097331197,68.50700378417969,653
33669.75627852,Normal,-2.1313211864944246,103.08899688720703,655
33669.964515597,Normal,-2.4424506136255832,87.90899658203125,657
33670.236921534,Normal,-2.9820429239030073,98.29399871826172,659
33670.60346149,Normal,-3.562695608664876,151.27200317382812,664
33670.918768624,Normal,-3.9864362530962407,150.1510009765625,666
33671.207522334,Normal,-4.3054645510095675,107.72599792480469,669
33671.437110882,Normal,-4.387185886191734,121.44999694824219,672
33671.752330901,Normal,-4.364034142854528,111.33100128173828,675
33672.01775552,Normal,-4.3313352444713855,112.63800048828125,677
33672.329168181,Normal,-4.268886622996681,86.54499816894531,681
33672.618671303,Normal,-4.274769935329855,112.3759994506836,684
33672.781425452,Normal,-4.338022590996963,96.33699798583984,686
33672.986254333,Normal,-4.410771474470195,42.41299819946289,688
33673.198330893,Normal,-4.525020220949298,85.7239990234375,690
33673.415147621,Normal,-4.593075222549703,92.84600067138672,692
33673.659676273,Normal,-4.516428899030734,138.91900634765625,694
33673.871560381,Normal,-4.475470589781592,113.73699951171875,696
33674.160638715,Normal,-4.431330838472793,129.99000549316406,699
33674.371656779,Normal,-4.245271369417979,92.58100128173828,701
33674.643085023,Normal,-4.122780251238236,125.11499786376953,703
33674.86707025,Normal,-3.9925455539041783,80.45099639892578,707
33675.104673978,Normal,-3.889694718098067,116.52200317382812,709
33675.338453278,Normal,-3.8331095731794536,130.11700439453125,711
33675.53988281,Normal,-3.738664199951639,80.12300109863281,713
33675.798331233,Normal,-3.5840446425791073,101.37999725341797,715
33676.009173948,Normal,-3.522743391165467,107.52999877929688,717
33676.257689341,Normal,-3.415270706693694,127.60099792480469,720
33676.438545105,Normal,-3.4088358716723186,106.8489990234375,722
33676.743399043,Normal,-3.4253649440607097,70.28900146484375,725
33677.053080575,Normal,-3.6017502689664602,84.41200256347656,728
33677.308504034,Normal,-3.6752633919217246,48.555999755859375,731
33677.655589694,Normal,-3.78779685305323,130.06900024414062,734
33677.89032589,Normal,-3.883272460180977,116.87100219726562,736
33678.169546323,Normal,-3.948720425656901,83.98300170898438,739
33678.747541966,Normal,-3.907934492797955,125.21299743652344,743
33678.977008481,Normal,-3.157000158378199,109.0770034790039,747
33679.295278103,Normal,-2.5550706448159115,151.19900512695312,750
33679.589890503,Normal,-1.7614894265932983,88.11199951171875,754
33679.816637905,Normal,-1.1445981827698308,67.93800354003906,756
33680.063562883,Normal,-0.5372010796712859,97.0739974975586,758
33680.362920388,Normal,0.5133001071498029,147.8249969482422,761
33680.582196728,Normal,1.0690486424854548,74.37999725341797,764
33680.772258244,Normal,1.6466405193605531,76.7760009765625,766
33681.023315055,Normal,2.026076503984982,96.94000244140625,768
33681.218197108,Normal,2.531320801478943,94.78199768066406,770
33681.507326507,Normal,2.9708290088795106,86.25399780273438,773
33681.706077373,Normal,3.4438154712469746,91.02100372314453,775
33681.938559505,Normal,3.8758442951181604,115.3949966430664,777
33682.254794682,Normal,4.220470352934612,80.41999816894531,780
33682.518939227,Normal,4.643641351353485,155.49400329589844,783
33682.719651329,Normal,4.874000410340567,105.90499877929688,785
33682.97201414,Normal,5.005002497501877,156.3730010986328,787
33683.186904942,Normal,5.116083658424679,105.5999984741211,789
33683.367655847,Normal,5.092961810184722,74.94300079345703,791
33683.642779255,Normal,5.045732949730893,134.30299377441406,793
33683.858969518,Normal,4.932294597852003,147.20399475097656,796
33684.166764035,Normal,4.759793693008134,131.28799438476562,799
33684.464523489,Normal,4.4804278813524085,104.61799621582031,802
33684.840012888,Normal,4.326375503813787,131.46099853515625,805
33685.143342183,Normal,4.098269512855395,104.72799682617188,809
33685.474621024,Normal,4.0343537276743575,160.625,812
33685.737555081,Normal,3.8130308155062185,59.638999938964844,815
33686.028208697,Normal,3.728287810778558,97.76000213623047,818
33686.264467567,Normal,3.6183999226177304,129.61700439453125,820
33686.491592427,Normal,3.568883578936138,87.55899810791016,823
33686.77979997,Normal,3.6103456898197397,68.53700256347656,826
33687.123335543,Normal,3.6821702839493966,89.16000366210938,829
33687.397967894,Normal,3.7794486370368876,121.86699676513672,831
33687.761518275,Normal,3.8181348849929306,156.10699462890625,834
33688.143181919,Normal,3.9914665224701564,99.9209976196289,838
33688.310814619,Normal,4.081183774347823,115.75299835205078,841
33688.54293691,Normal,4.23340914630278,96.4219970703125,843
33688.837270938,Normal,4.375501342703487,124.89199829101562,845
33689.203091274,Normal,4.358611935008663,117.51399993896484,850
33689.50778292,Normal,4.37840164900389,83.09400177001953,853
33689.728300191,Normal,4.442259785289465,99.73899841308594,855
33689.966599537,Normal,4.4527835114678584,196.45899963378906,858
33690.225354624,Normal,4.46711204247218,42.672000885009766,860
33690.424414191,Normal,4.402089617443065,122.83200073242188,862
33690.732344098,Normal,4.48658645297291,74.13300323486328,865
33690.992685889,Normal,4.504273748341683,99.26499938964844,868
33691.259943585,Normal,4.54210799079018,84.34200286865234,871
33691.5390628,Normal,4.509217781389588,114.13600158691406,873
33691.801825438,Normal,4.573182043172998,88.93000030517578,876
33692.047836231,Normal,4.539579055375068,58.02399826049805,879
