ts,state,center_offset,res_t,instance
20093.562491611,Normal,-1.5242391544636293,26.94499969482422,139
20093.745905466,Normal,-1.5242391544636293,34.902000427246094,141
20094.086312095,Normal,-1.4835420452417247,44.20199966430664,144
20094.253453519,Normal,-1.2050630688889274,85.26399993896484,146
20094.449669361,Normal,-1.0156559456823926,43.13999938964844,148
20094.784181685,Normal,-0.9965259655422931,50.165000915527344,151
20095.053242096,Normal,-0.9725039845676684,65.18499755859375,154
20095.258853954,Normal,-0.8877054691731965,63.590999603271484,156
20095.470357535,Normal,-0.9127814634401807,65.51799774169922,158
20095.643205646,Normal,-0.9363076417502956,46.61199951171875,160
20095.87059165,Normal,-0.8846072574877484,46.665000915527344,162
20096.045588357,Normal,-0.8606189633048995,43.98699951171875,164
20096.259847818,Normal,-0.7365548180549724,53.68899917602539,166
20096.542627023,Normal,-0.5576064920712406,31.023000717163086,169
20096.739091539,Normal,-0.5456308275748357,38.69900131225586,171
20096.946747313,Normal,-0.6334919099720233,36.83599853515625,173
20097.241444733,Normal,-0.31183489221060234,41.34400177001953,176
20097.465441779,Normal,-0.3454041111509829,46.012001037597656,178
20097.634489024,Normal,-0.39357337308308593,31.327999114990234,180
20097.842608781,Normal,-0.316362134270205,36.130001068115234,182
20098.133266408,Normal,-0.21266405432042593,22.23200035095215,185
20098.335769108,Normal,-0.2013082213919732,24.665000915527344,187
20098.553605958,Normal,-0.49445019971681553,27.378999710083008,189
20098.833318162,Normal,-0.6350000000000023,28.17799949645996,192
20099.03571212,Normal,-0.7058668429668569,46.47999954223633,194
20099.270604373,Normal,-0.6940842888295288,31.19300079345703,196
20099.555790301,Normal,-0.7200506926598992,24.92099952697754,199
20099.747981702,Normal,-0.8739107505918432,29.08799934387207,201
20100.040781381,Normal,-0.8366420979128443,40.82400131225586,204
20100.278875783,Normal,-0.705070918418848,30.547000885009766,206
20100.441699522,Normal,-0.6211344459937795,56.13199996948242,208
20100.647714031,Normal,-0.746706100149178,38.35599899291992,210
20100.846945962,Normal,-0.6844939736769101,42.20399856567383,212
20101.044381213,Normal,-0.6627216610312351,59.388999938964844,214
20101.259110444,Normal,-0.7191863458103164,63.808998107910156,216
20101.555444883,Normal,-0.7516708056057533,50.54800033569336,219
20101.755104217,Normal,-0.6048842864548523,29.31999969482422,221
20102.037856098,Normal,-0.46054424326007953,23.29599952697754,224
20102.238463585,Normal,-0.44098979580031195,21.915000915527344,226
20102.552445475,Normal,-0.41415214595604943,18.937999725341797,229
20102.858420092,Normal,-0.6097376485013868,21.257999420166016,232
20103.133141291,Normal,-0.6878669929572105,22.707000732421875,235
20103.344672343,Normal,-0.6160235385113155,24.881999969482422,237
20103.640303007,Normal,-0.6289053982913522,21.816999435424805,240
20103.831906987,Normal,-0.6301301452874634,26.714000701904297,242
20104.038378361,Normal,-0.6641121893174381,28.610000610351562,244
20104.244828741,Normal,-0.4900367333170055,30.92300033569336,246
20104.447644692,Normal,-0.44953865239821705,46.57899856567383,248
20104.634174608,Normal,-0.42021185133215366,27.981000900268555,250
20104.937469332,Normal,-0.35288099977187787,38.23500061035156,253
20105.13656861,Normal,-0.1521906698848529,28.52400016784668,255
20105.345244494,Normal,-0.07283543093852024,24.052000045776367,257
20105.540072993,Normal,-0.5053206902552083,23.434999465942383,259
20105.750635199,Normal,0.5050148512667728,30.513999938964844,261
20106.061234852,Normal,0.43063325463786517,41.176998138427734,264
20106.351379433,Normal,0.5261064531062117,25.27199935913086,267
20106.542984935,Normal,0.21038060747131568,26.011999130249023,269
20106.831338947,Normal,-0.15702865980450834,41.435001373291016,272
20107.042103882,Normal,-0.4154347120788081,25.05299949645996,274
20107.343232294,Normal,-0.1633676834627927,20.95800018310547,277
20107.647910342,Normal,-0.10785638599544699,22.85300064086914,280
20107.832219957,Normal,-0.18369812192834042,36.34600067138672,282
20108.058504968,Normal,-0.473355046450338,28.510000228881836,284
20108.33874837,Normal,-0.34223529917295237,17.04400062561035,287
20108.546161178,Normal,-0.6163318911106299,41.665000915527344,289
20108.734099256,Normal,-0.4620043289840508,23.229000091552734,291
20108.934451891,Normal,-0.6625141507922694,24.827999114990234,293
20109.249964682,Normal,-0.5686237772024669,33.159000396728516,296
20109.44811527,Normal,-0.561616417138955,27.704999923706055,298
20109.646460164,Normal,-0.6912083622179341,35.45899963378906,300
20109.836477646,Normal,-0.4542345209250395,43.564998626708984,302
