ts,state,center_offset,res_t,instance
23531.66617182,Normal,-1.5242391544636293,45.13100051879883,227
23532.012649052,Normal,-1.5242391544636293,46.3380012512207,230
23532.286940544,Normal,-1.3954644388159805,49.316001892089844,233
23532.448700788,Normal,-1.147024411248514,48.12200164794922,235
23532.666664745,Normal,-0.9636000207554976,34.76499938964844,237
23532.862718773,Normal,-1.076707945545121,42.15700149536133,239
23533.070851438,Normal,-1.012415428566752,68.35800170898438,241
23533.312014538,Normal,-1.046943169422295,53.547000885009766,243
23533.541864075,Normal,-0.9172355204635276,106.44300079345703,245
23533.758905245,Normal,-1.0018193449918984,44.01900100708008,248
23533.990103018,Normal,-0.8720968982859645,34.097999572753906,250
23534.284896742,Normal,-0.8702373239524999,51.55699920654297,253
23534.58766344,Normal,-0.647580110874321,27.56999969482422,256
23534.760754632,Normal,-0.52340137561913,72.36299896240234,258
23535.073535837,Normal,-0.6513562773167979,26.273000717163086,261
23535.266213143,Normal,-0.5474422343955503,49.57500076293945,263
23535.602006429,Normal,-0.2053533540023193,40.26100158691406,266
23535.864740163,Normal,-0.10977249200050578,23.195999145507812,269
23536.045011622,Normal,-0.1968882932020105,31.572999954223633,271
23536.251283963,Normal,-0.21169081227110653,39.78200149536133,273
23536.598509918,Normal,-0.47384385613828284,33.63800048828125,276
23536.788742529,Normal,-0.6652796404520421,64.84100341796875,278
23537.085047941,Normal,-0.8210054811022863,40.599998474121094,281
23537.289976518,Normal,-0.8297740656347383,58.082000732421875,283
23537.571931185,Normal,-0.8204779095137185,58.4370002746582,286
23537.878201837,Normal,-0.8757728015872581,52.83399963378906,289
23538.074189688,Normal,-0.8981853928894636,73.4280014038086,291
23538.392663993,Normal,-0.8436142483386598,33.30699920654297,294
23538.653002959,Normal,-0.9340133832017586,27.589000701904297,297
23538.964880489,Normal,-0.8483118530351904,35.82600021362305,300
23539.169706871,Normal,-0.812524461170242,44.01100158691406,302
23539.4917778,Normal,-0.6965586838163738,48.5099983215332,305
23539.691876105,Normal,-0.5095978806863324,49.05099868774414,307
23540.013534029,Normal,-0.46428547252740804,64.625,310
23540.288354871,Normal,-0.22771253808255387,93.2760009765625,313
23540.456627626,Normal,-0.21644860821913678,58.3129997253418,315
23540.679481008,Normal,-0.5379749064779885,52.59700012207031,317
23540.87555493,Normal,-0.5834552253600942,37.27199935913086,319
23541.051139632,Normal,-0.24129857024027493,28.084999084472656,321
23541.353712058,Normal,-0.36840874039577376,46.03499984741211,324
23541.56002973,Normal,-0.5152708025883075,45.78300094604492,326
23541.745019678,Normal,-0.4989919839035519,48.50299835205078,328
23541.96839958,Normal,-0.42884262847809446,26.034000396728516,330
23542.154394692,Normal,-0.4972293233509034,71.03600311279297,332
23542.507093926,Normal,-0.6766276671848399,25.56100082397461,335
23542.765759066,Normal,-0.5372755345258123,33.005001068115234,338
23542.958302021,Normal,-0.5213185206761809,35.97200012207031,340
23543.20053209,Normal,-0.2135064401838974,26.27199935913086,342
23543.563711646,Normal,-0.14142135623731159,30.69300079345703,346
23543.868474587,Normal,-0.3638145131794492,26.232999801635742,349
23544.151098699,Normal,-0.5481186003047146,38.654998779296875,352
23544.389997196,Normal,-0.318077034694427,62.874000549316406,354
23544.670045389,Normal,0.4078945942274794,26.375999450683594,357
23544.874294185,Normal,-0.27662248643232035,68.53800201416016,359
23545.094500092,Normal,-0.11005453193758388,84.23999786376953,361
23545.359563845,Normal,-0.38700516792415035,36.0099983215332,364
23545.591987654,Normal,-0.5193938775149343,44.900001525878906,366
23545.847804309,Normal,-0.18115739013355722,52.61399841308594,369
23546.164811571,Normal,-0.30708467887539076,47.84600067138672,372
23546.463438079,Normal,-0.1677647161950319,46.30699920654297,375
23546.667642471,Normal,-0.449739924845462,43.30099868774414,377
23546.959935778,Normal,-0.6452301914820832,30.283000946044922,380
23547.16964954,Normal,-0.6111898232137006,35.84000015258789,382
23547.360377792,Normal,-0.7393537718846126,41.720001220703125,384
23547.557718168,Normal,-0.7113543420827607,32.96799850463867,386
23547.846096723,Normal,-0.7883412966475905,28.066999435424805,389
23548.094135036,Normal,-0.8247763333171021,43.62799835205078,391
23548.361006877,Normal,-0.8040727579019191,38.534000396728516,394
