ts,state,center_offset,res_t,instance
6584.618897535,Normal,-1.5242391544636293,18.365999221801758,115
6584.815499499,Normal,-1.5242391544636293,19.20800018310547,117
6585.115902492,Normal,-1.51557249909069,19.959999084472656,120
6585.413908659,Normal,-1.3748254434654605,22.926000595092773,123
6585.617470395,Normal,-1.0224539109417086,19.98699951171875,125
6585.91560193,Normal,-1.002758694801496,19.60300064086914,128
6586.123538242,Normal,-1.0531144287303231,23.097000122070312,130
6586.417739288,Normal,-1.0507792346634954,32.28799819946289,133
6586.715873562,Normal,-0.9668883079239315,18.836999893188477,136
6586.919216343,Normal,-1.0141326343235346,28.025999069213867,138
6587.215506131,Normal,-0.9622374966711715,17.44700050354004,141
6587.426019395,Normal,-0.8159148239859314,25.652999877929688,143
6587.713923171,Normal,-0.5833369523697196,20.611000061035156,146
6588.014638631,Normal,-0.45841575016572333,17.966999053955078,149
6588.327316276,Normal,-0.3429999999999964,24.89900016784668,152
6588.511885872,Normal,-0.3967883566840151,17.235000610351562,154
6588.81304551,Normal,-0.39516705328253265,16.68199920654297,157
6589.018610147,Normal,-0.311464283666683,19.655000686645508,159
6589.308070226,Normal,-0.19407730418573227,13.222000122070312,162
6589.619928601,Normal,-0.32684093990808233,21.062999725341797,165
6589.921512223,Normal,-0.5994972894017127,21.847000122070312,168
6590.116321441,Normal,-0.7947691488728028,21.951000213623047,170
6590.4149287,Normal,-0.8740097253463464,24.881000518798828,173
6590.705793368,Normal,-0.8726935315447211,24.099000930786133,176
6590.918260875,Normal,-1.0057957049023378,16.79400062561035,178
6591.214677852,Normal,-0.7658048054171495,22.259000778198242,181
6591.424069175,Normal,-0.8380095464850023,24.591999053955078,183
6591.718044885,Normal,-0.7514792079625346,25.437000274658203,186
6592.024901181,Normal,-0.7198805456462887,17.125,189
6592.3249288,Normal,-0.7291474473657592,17.937999725341797,192
6592.611679171,Normal,-0.621727432240205,16.961000442504883,195
6592.814205563,Normal,-0.4864771320422015,17.851999282836914,197
6593.022730085,Normal,-0.7311887581192693,25.402999877929688,199
6593.314010687,Normal,-0.5648088172116297,23.785999298095703,202
6593.616224311,Normal,-0.4848463674196203,13.513999938964844,205
6593.91626039,Normal,-0.2639469643697389,25.417999267578125,208
6594.112813328,Normal,-0.45621157372429766,21.63800048828125,210
6594.310742926,Normal,-0.4951040294725943,13.862000465393066,212
6594.614319006,Normal,-0.3852194179944703,15.480999946594238,215
6594.9158025,Normal,-0.39008204265256874,13.630000114440918,218
6595.219932734,Normal,-0.5012883401795832,14.642999649047852,221
6595.422594433,Normal,-0.3742098341839742,21.680999755859375,223
6595.718588473,Normal,-0.4384153281991867,24.202999114990234,226
6596.011617598,Normal,-0.29914712099567586,15.668000221252441,229
6596.215802653,Normal,-0.3500471396826428,15.633000373840332,231
6596.512616681,Normal,-0.523622001065655,23.94300079345703,234
6596.72133908,Normal,-0.5378215317370622,15.387999534606934,236
6596.916506711,Normal,-0.3795787138394357,16.77199935913086,238
6597.127980068,Normal,-0.08091971329657491,18.86400032043457,240
6597.320428344,Normal,0.18109942020890166,18.764999389648438,242
6597.612914014,Normal,0.4062769991028295,17.426000595092773,245
6597.812428338,Normal,-0.44400450448165585,16.792999267578125,247
6598.115861535,Normal,-0.35427249399296956,22.66699981689453,250
6598.312937623,Normal,-0.1943399084079252,17.325000762939453,252
6598.513398839,Normal,-0.09953893710503338,16.273000717163086,254
6598.8083791,Normal,-0.07119691004530321,16.333999633789062,257
6599.01571268,Normal,-0.1204159457879252,16.756999969482422,259
6599.310528178,Normal,-0.2758731592598308,15.618000030517578,262
6599.613917801,Normal,-0.2960557379953996,15.890999794006348,265
6599.821959921,Normal,-0.5896007123469277,17.389999389648438,267
6600.122999292,Normal,-0.61206944050492,15.484000205993652,270
6600.311183931,Normal,-0.633912454523496,26.891000747680664,272
6600.52438226,Normal,-0.7623601511097035,25.621999740600586,274
6600.721283127,Normal,-0.6250671963877125,30.691999435424805,276
6600.928762501,Normal,-0.7841434817684825,26.5049991607666,278
6601.124125054,Normal,-0.6820593815790517,16.010000228881836,280
6601.322343546,Normal,-0.7335952562551141,26.799999237060547,282
6601.623342967,Normal,-0.726094346486737,23.333999633789062,285
6601.911109684,Normal,-0.7753276726649196,39.98500061035156,288
